passenger_name,tpep_pickup_datetime,tpep_dropoff_datetime,payment_method,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount,passenger_first_name,travel_time,total_amount
Pamela Duffy,2017-03-25 08:55:43,2017-03-25 09:09:47,Card,6,3.34,13.0,2.76,0.0,Pamela,0 days 00:14:04,15.76
Michelle Foster,2017-04-11 14:53:28,2017-04-11 15:19:58,Card,1,1.8,16.0,4.0,0.0,Michelle,0 days 00:26:30,20.0
Tina Combs,2017-12-15 07:26:56,2017-12-15 07:34:08,Card,1,1.0,6.5,1.45,0.0,Tina,0 days 00:07:12,7.95
Anthony Ray,2017-05-07 13:17:59,2017-05-07 13:48:14,Cash,1,3.7,20.5,6.39,0.0,Anthony,0 days 00:30:15,26.89
Brianna Johnson,2017-04-15 23:32:20,2017-04-15 23:49:03,Card,1,4.37,16.5,0.0,0.0,Brianna,0 days 00:16:43,16.5
Justin Smith,2017-03-25 20:34:11,2017-03-25 20:42:11,Card,6,2.3,9.0,2.06,0.0,Justin,0 days 00:08:00,11.06
Tonya Moreno,2017-05-03 19:04:09,2017-05-03 20:03:47,Cash,1,12.83,47.5,9.86,0.0,Tonya,0 days 00:59:38,57.36
Hannah Foley,2017-08-15 17:41:06,2017-08-15 18:03:05,Card,1,2.98,16.0,1.78,0.0,Hannah,0 days 00:21:59,17.78
Katie Whitney,2017-02-04 16:17:07,2017-02-04 16:29:14,Cash,1,1.2,9.0,0.0,0.0,Katie,0 days 00:12:07,9.0
Amanda Jones,2017-11-10 15:20:29,2017-11-10 15:40:55,Cash,1,1.6,13.0,2.75,0.0,Amanda,0 days 00:20:26,15.75
Cory Jensen,2017-03-04 11:58:00,2017-03-04 12:13:12,Cash,1,1.77,11.5,2.46,0.0,Cory,0 days 00:15:12,13.96
Jamie Brown,2017-03-05 19:15:30,2017-03-05 19:52:18,Card,2,18.9,52.0,14.58,5.54,Jamie,0 days 00:36:48,72.12
Ryan Reyes,2017-06-09 19:00:26,2017-06-09 19:20:11,Card,1,3.0,15.0,3.35,0.0,Ryan,0 days 00:19:45,18.35
Jessica Mooney,2017-11-06 23:35:05,2017-11-06 23:42:57,Card,1,2.39,9.5,2.16,0.0,Jessica,0 days 00:07:52,11.66
Heidi May,2017-02-22 15:18:31,2017-02-22 15:42:50,Cash,1,3.3,17.5,4.55,0.0,Heidi,0 days 00:24:19,22.05
Anthony Richard,2017-06-02 06:41:39,2017-06-02 06:57:47,Card,1,5.93,19.0,3.0,0.0,Anthony,0 days 00:16:08,22.0
Sarah Gross,2017-08-15 19:48:08,2017-08-15 20:00:37,Cash,1,3.6,12.5,2.85,0.0,Sarah,0 days 00:12:29,15.35
Susan Robinson,2017-07-10 13:36:31,2017-07-10 13:48:43,Cash,2,1.71,9.5,0.0,0.0,Susan,0 days 00:12:12,9.5
Cynthia Mendoza,2017-04-10 18:12:58,2017-04-10 18:17:39,Cash,2,0.63,5.0,0.0,0.0,Cynthia,0 days 00:04:41,5.0
Zachary James,2017-03-05 04:01:07,2017-03-05 04:14:11,Card,2,2.77,11.5,3.2,0.0,Zachary,0 days 00:13:04,14.7
Marissa Scott,2017-12-30 23:52:44,2017-12-30 23:58:57,Card,1,1.1,6.5,0.0,0.0,Marissa,0 days 00:06:13,6.5
Jacqueline Mclean DVM,2017-10-11 12:34:49,2017-10-11 13:22:38,Card,1,12.3,68.25,12.0,16.26,Jacqueline,0 days 00:47:49,96.51
Krista Stewart,2017-01-06 20:12:07,2017-01-06 20:18:37,Cash,1,0.52,5.5,1.0,0.0,Krista,0 days 00:06:30,6.5
Mike Taylor,2017-06-27 00:08:22,2017-06-27 00:13:45,Card,1,1.7,7.0,2.05,0.0,Mike,0 days 00:05:23,9.05
Heather Johnson,2017-02-13 10:29:33,2017-02-13 10:34:11,Cash,1,0.9,5.5,1.25,0.0,Heather,0 days 00:04:38,6.75
Tiffany Ramirez,2017-01-14 19:58:42,2017-01-14 20:05:59,Card,1,1.72,8.0,2.79,0.0,Tiffany,0 days 00:07:17,10.79
James Taylor,2017-11-04 01:27:59,2017-11-04 01:44:05,Card,1,2.7,13.0,2.85,0.0,James,0 days 00:16:06,15.85
Gabriela Bryan,2017-11-24 10:48:13,2017-11-24 10:52:57,Cash,1,0.85,5.5,0.0,0.0,Gabriela,0 days 00:04:44,5.5
Janet Hogan MD,2017-11-22 10:24:17,2017-11-22 10:38:52,Cash,1,2.3,11.0,2.35,0.0,Janet,0 days 00:14:35,13.35
David Burton,2017-11-06 20:30:50,2017-11-07 00:00:00,Card,1,30.83,80.0,18.56,11.52,David,0 days 03:29:10,110.08
Jessica Cohen,2017-08-09 21:01:50,2017-08-09 21:14:28,Cash,1,2.3,10.5,1.77,0.0,Jessica,0 days 00:12:38,12.27
Katherine Martin,2017-04-12 11:07:56,2017-04-12 11:19:29,Cash,4,1.5,9.0,0.0,0.0,Katherine,0 days 00:11:33,9.0
Amy Larsen,2017-07-26 23:26:50,2017-07-26 23:55:49,Cash,1,14.32,40.5,0.0,0.0,Amy,0 days 00:28:59,40.5
Adrienne Mitchell,2017-10-26 19:43:07,2017-10-26 20:06:02,Cash,1,2.9,15.5,3.45,0.0,Adrienne,0 days 00:22:55,18.95
Michael Murphy,2017-03-04 18:19:04,2017-03-04 18:32:13,Card,1,1.7,10.5,1.7,0.0,Michael,0 days 00:13:09,12.2
Benjamin Walls,2017-11-05 01:35:25,2017-11-05 01:43:39,Cash,5,2.69,9.5,0.0,0.0,Benjamin,0 days 00:08:14,9.5
Steven Valdez,2017-02-24 11:24:50,2017-02-24 11:29:18,Card,1,0.6,5.0,0.0,0.0,Steven,0 days 00:04:28,5.0
Craig Cook,2017-02-23 08:04:57,2017-02-23 08:18:48,Cash,1,2.11,11.5,2.46,0.0,Craig,0 days 00:13:51,13.96
Amanda Burns MD,2017-02-12 18:45:41,2017-02-12 18:48:58,Cash,4,0.4,4.0,0.72,0.0,Amanda,0 days 00:03:17,4.72
Gregory Stevens,2017-12-08 12:21:55,2017-12-08 12:30:38,Cash,1,1.28,7.5,5.0,0.0,Gregory,0 days 00:08:43,12.5
Jennifer Allen,2017-09-15 19:09:51,2017-09-15 19:23:06,Card,3,1.23,9.5,2.26,0.0,Jennifer,0 days 00:13:15,11.76
Heather Leonard,2017-02-25 07:41:32,2017-02-25 07:50:26,Cash,1,2.0,9.0,1.95,0.0,Heather,0 days 00:08:54,10.95
Dr. Christy Velasquez,2017-12-08 07:59:11,2017-12-08 08:15:32,Cash,1,4.52,16.5,2.0,0.0,Dr.,0 days 00:16:21,18.5
Jasmin Oconnell,2017-04-26 11:18:27,2017-04-26 11:24:59,Cash,2,1.12,6.5,1.82,0.0,Jasmin,0 days 00:06:32,8.32
Jasmine Hull,2017-02-15 17:30:24,2017-02-15 17:35:24,Card,1,0.59,5.0,1.36,0.0,Jasmine,0 days 00:05:00,6.36
Grace Duran,2017-08-14 17:15:32,2017-08-14 17:25:28,Card,1,1.5,8.5,2.55,0.0,Grace,0 days 00:09:56,11.05
Lauren Wilson,2017-09-05 15:10:20,2017-09-05 15:25:25,Cash,4,1.71,10.5,0.0,0.0,Lauren,0 days 00:15:05,10.5
Amber Wise,2017-01-13 02:37:24,2017-01-13 03:17:34,Card,4,8.69,31.5,6.56,0.0,Amber,0 days 00:40:10,38.06
Daniel Thompson,2017-03-11 04:46:32,2017-03-11 04:57:02,Card,6,2.69,11.0,0.0,0.0,Daniel,0 days 00:10:30,11.0
Kayla Navarro,2017-04-27 07:26:57,2017-04-27 07:28:21,Cash,1,0.42,3.5,0.86,0.0,Kayla,0 days 00:01:24,4.36
Sarah Moore DDS,2017-07-13 08:23:29,2017-07-13 08:47:40,Cash,2,7.37,25.5,0.0,0.0,Sarah,0 days 00:24:11,25.5
Erin Parker,2017-01-05 14:56:32,2017-01-05 15:24:31,Cash,2,2.6,17.5,0.0,0.0,Erin,0 days 00:27:59,17.5
Cynthia Garcia,2017-03-28 19:10:03,2017-03-28 19:13:20,Cash,1,0.8,4.5,1.26,0.0,Cynthia,0 days 00:03:17,5.76
Eduardo Brown,2017-09-01 09:37:29,2017-09-01 10:00:14,Card,1,2.9,16.0,0.0,0.0,Eduardo,0 days 00:22:45,16.0
Kristen Owens,2017-08-17 22:06:12,2017-08-17 22:32:06,Cash,1,11.07,32.5,6.76,0.0,Kristen,0 days 00:25:54,39.26
Luis Martin,2017-02-10 11:47:00,2017-02-10 12:09:43,Card,1,2.7,15.5,4.05,0.0,Luis,0 days 00:22:43,19.55
Stephen Huffman,2017-03-07 20:19:42,2017-03-07 20:29:08,Cash,2,2.51,10.0,3.39,0.0,Stephen,0 days 00:09:26,13.39
Aaron Pham,2017-03-18 12:12:18,2017-03-18 12:20:32,Card,1,0.78,7.0,0.0,0.0,Aaron,0 days 00:08:14,7.0
Michelle Hughes,2017-03-03 08:02:59,2017-03-03 08:05:43,Card,1,0.85,4.5,1.59,0.0,Michelle,0 days 00:02:44,6.09
